Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
"C1, C7, ",2,10u,C,Capacitor_SMD:C_0603_1608Metric,Unpolarized capacitor,https://www.mouser.fr/ProductDetail/KYOCERA-AVX/04025C104KAT4A?qs=sGAEpiMZZMukHu%252BjC5l7YUdXsWv9uyAxHLof1Vti544%3D
"C2, C3, C4, C5, C6, C8, ",6,100n,C,Capacitor_SMD:C_0402_1005Metric,Unpolarized capacitor,https://www.mouser.fr/ProductDetail/Samsung-Electro-Mechanics/CL10A106KP8NNWC?qs=xZ%2FP%252Ba9zWqZx8LSX23YqWA%3D%3D
"IC1, ",1,PCI_EXPRESS_CARD,PCI_EXPRESS_CARD,Connector_PCBEdge:BUS_PCI_Express_Mini,PCI express bus for rak5146,https://fr.rs-online.com/web/p/connecteurs-de-carte-memoire/0435689
"J1, J2, ",2,Conn_01x19,Conn_01x19,Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical,"Generic connector, single row, 01x19",https://fr.rs-online.com/web/p/connecteurs-femelles-pour-ci/2079068
"J3, ",1,Bus Standard,Flatsat_conn,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,,https://www.mouser.fr/ProductDetail/Samtec/SSW-120-02-L-D-RA?qs=%252BZP6%2F%252BtExtClp17wmtcVlA%3D%3D
"J4, ",1,Calculatrice_UART_groove,Conn_01x04,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical,"Generic connector, single row, 01x04",https://fr.rs-online.com/web/p/connecteurs-femelles-pour-ci/2518193
"J5, ",1,RAK5146_UART_groove(GPS),Conn_01x05,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical,"Generic connector, single row, 01x05",https://fr.rs-online.com/web/p/connecteurs-femelles-pour-ci/2518200
"J6, ",1,RAK5146_I2C_groove(GPS),Conn_01x05,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical,"Generic connector, single row, 01x05",https://fr.rs-online.com/web/p/connecteurs-femelles-pour-ci/2518200
"J7, ",1,RAK5146_SPI_groove(MCU),Conn_01x06,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,"Generic connector, single row, 01x06",https://fr.rs-online.com/web/p/connecteurs-femelles-pour-ci/1708779
"JP1, ",1,Jumper_RESET_GPS_Open,Jumper_2_Open,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,"Jumper, 2-pole, open",https://www.mouser.fr/ProductDetail/CK/KMR221NGLFS?qs=sb%252But3Lm4x2H4qewmcuXNA%3D%3D
"JP2, ",1,Jumper_STANDY_GPS_Open,Jumper_2_Open,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,"Jumper, 2-pole, open",https://www.mouser.fr/ProductDetail/CK/KMR221NGLFS?qs=sb%252But3Lm4x2H4qewmcuXNA%3D%3D
"JP3, ",1,Jumper_MCU_Reset_Open,Jumper_2_Open,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,"Jumper, 2-pole, open",https://www.mouser.fr/ProductDetail/CK/KMR221NGLFS?qs=sb%252But3Lm4x2H4qewmcuXNA%3D%3D
"Q1, ",1,BC548,BC548,Package_TO_SOT_THT:TO-92_Inline,"0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92",https://www.mouser.fr/ProductDetail/Diotec-Semiconductor/BC548A?qs=OlC7AqGiEDn7ksXHluy35w%3D%3D
"R1, R3, R4, R5, ",4,0,R,Resistor_SMD:R_0402_1005Metric,Resistor,https://www.mouser.fr/ProductDetail/Vishay-Dale/CRCW04020000Z0EDC?qs=sGAEpiMZZMtlubZbdhIBIIZe04wfiaJW9KIkhfRMZVI%3D
"R2, R6, R7, R9, ",4,100,R,Resistor_SMD:R_0402_1005Metric,Resistor,https://www.mouser.fr/ProductDetail/YAGEO/RC0402FR-07100RL?qs=V1yeUXFNrknwaJOOZ4yDtg%3D%3D
"R8, ",1,NC,R,Resistor_SMD:R_0402_1005Metric,Resistor,
U1,1,ESP32-DEVKITC-32D,ESP32-DEVKITC-32D,ESP32-DEVKITC-32D:MODULE_ESP32-DEVKITC-32D,,
